序号,代码,名称,最新价(元) 2026.06.09,涨跌幅(%) 2026.06.09,市盈率(TTM)(倍) 2026.06.09,证券类型,涨跌额(元) 2026.06.09,最高价(元) 2026.06.09,最低价(元) 2026.06.09,换手率(%) 2026.06.09,量比 2026.06.09,成交量(股) 2026.06.09,成交额(元) 2026.06.09,市盈率(动)(倍) 2026.06.09,市净率(倍) 2026.06.09,总市值(元) 2026.06.09,流通市值(元) 2026.06.09
759,600016,民生银行,3.54,-0.28,5.28,A股,-0.010,3.59,3.53,0.65,1.03,2.29亿,8.14亿,3.37,0.2693,1549.90亿,1255.36亿
760,601390,中国中铁,4.52,-0.44,5.26,A股,-0.020,4.55,4.49,0.51,0.97,1.05亿,4.74亿,6.40,0.3471,1115.82亿,925.64亿
761,002839,张家港行,4.24,0.47,5.20,A股,0.020,4.26,4.17,0.93,1.12,2273.07万,9613.64万,4.50,0.5506,103.64亿,103.54亿
762,002807,江阴银行,3.95,0.25,5.20,A股,0.010,3.97,3.90,1.02,0.94,2748.43万,1.08亿,7.30,0.5439,106.95亿,106.79亿
763,601668,中国建筑,4.70,0.00,5.12,A股,0.000,4.72,4.68,0.35,0.79,1.44亿,6.77亿,3.50,0.3915,1942.06亿,1942.06亿
764,600908,无锡银行,5.42,-0.18,5.11,A股,-0.010,5.46,5.39,0.79,1.22,1571.61万,8531.88万,4.69,0.5142,118.95亿,108.36亿
765,002958,青农商行,2.90,0.35,5.04,A股,0.010,2.91,2.87,0.66,0.92,3581.52万,1.04亿,3.23,0.4256,161.11亿,157.75亿
766,601166,兴业银行,18.45,-0.49,5.04,A股,-0.090,18.60,18.41,0.39,0.84,8193.49万,15.16亿,4.10,0.4765,3904.55亿,3904.55亿
767,000001,平安银行,11.13,0.91,5.02,A股,0.100,11.19,10.96,0.59,1.23,1.15亿,12.77亿,3.72,0.4725,2159.88亿,2159.84亿
768,601818,光大银行,3.13,0.32,4.89,A股,0.010,3.15,3.10,0.43,1.06,1.98亿,6.21亿,4.03,0.3666,1849.38亿,1452.53亿
769,601186,中国铁建,6.27,0.32,4.84,A股,0.020,6.29,6.22,0.27,0.69,3137.08万,1.96亿,4.85,0.3064,851.44亿,721.25亿
770,601336,新华保险,55.87,0.79,4.72,A股,0.440,56.08,55.01,0.78,0.66,1629.41万,9.05亿,6.70,1.4106,1742.89亿,1165.13亿
771,601528,瑞丰银行,4.70,-0.84,4.70,A股,-0.040,4.75,4.69,0.59,0.81,1029.19万,4853.81万,5.46,0.4662,92.22亿,81.52亿
772,601577,长沙银行,9.54,0.10,4.66,A股,0.010,9.63,9.45,0.45,0.97,1798.70万,1.72亿,4.17,0.5200,383.66亿,383.57亿
773,603323,苏农银行,4.71,-0.21,4.60,A股,-0.010,4.75,4.69,1.25,0.98,2513.61万,1.19亿,5.14,0.4909,95.07亿,95.07亿
774,600599,退市熊猫,0.43,-8.51,4.57,A股,-0.040,0.48,0.43,3.67,0.74,609.85万,278.66万,1.96,0.5699,7138.00万,7138.00万
775,601997,贵阳银行,5.96,0.68,4.12,A股,0.040,6.02,5.90,1.47,1.22,5379.64万,3.21亿,3.69,0.3357,217.91亿,217.91亿
